keys;ru;en;tr
;;;
# Shared;;;
ui.notification.error.unknown.message;Неизвестная ошибка. Пожалуйста, свяжитесь с администратором;Unknown error. Please contact the administrator;Bilinmeyen hata. Lütfen yöneticiyle iletişime geçin
ui.error.response.timeout.message;Время ожидания ответа истекло. Попробуйте ещё раз;The response timed out. Please try again;Yanıt zaman aşımına uğradı. Lütfen tekrar deneyin
ui.error.response.internal.message;На сервере произошла внутренняя ошибка. Попробуйте позже;An internal server error occurred. Please try again later;Dahili bir sunucu hatası oluştu. Lütfen daha sonra tekrar deneyin
ui.error.response.dependency.message;Внешний сервис временно недоступен. Попробуйте позже;An external service is temporarily unavailable. Please try again later;Harici bir hizmet geçici olarak kullanılamıyor. Lütfen daha sonra tekrar deneyin
ui.error.response.unavailable.message;Сервис временно недоступен. Попробуйте позже;The service is temporarily unavailable. Please try again later;Hizmet geçici olarak kullanılamıyor. Lütfen daha sonra tekrar deneyin
ui.error.response.forbidden.message;У вас недостаточно прав для выполнения этого действия;You do not have permission to perform this action;Bu işlemi gerçekleştirme izniniz yok
ui.error.response.banned.message;Учётная запись заблокирована;The account is blocked;Hesap engellendi
ui.error.response.badRequest.message;Сервер не смог обработать запрос;The server could not process the request;Sunucu isteği işleyemedi
ui.error.response.invalid.message;Переданные данные недействительны;The submitted data is invalid;Gönderilen veriler geçersiz
ui.error.response.notFound.message;Запрошенные данные не найдены;The requested data was not found;İstenen veriler bulunamadı
ui.error.response.alreadyExists.message;Такая запись уже существует;The requested entry already exists;İstenen kayıt zaten mevcut
ui.error.response.conflict.message;Действие конфликтует с текущим состоянием;The action conflicts with the current state;İşlem mevcut durumla çakışıyor
ui.error.response.cancelled.message;Операция была отменена;The operation was cancelled;İşlem iptal edildi
;;;
# Scenes Manager;;;
ui.loading.scene.message;Загрузка сцены... Пожалуйста, подождите;Loading scene... Please wait;Sahne yükleniyor... Lütfen bekleyin
;;;
# User info;;;
ui.status.auth.unauthorized;Не авторизован;Not authorized;Yetkili değil
;;;
# Connection;;;
ui.loading.connection.message;Подключение с мастеру… Пожалуйста, подождите.;Connecting to the master... Please wait.;Master'a bağlanılıyor... Lütfen bekleyin.
ui.dialog.connection.lost.message;Соединение с сервером было потеряно. Пожалуйста, попробуйте повторить его или обратитесь к администратору.;The connection to the server was lost. Please try again or contact your administrator.;Sunucuyla bağlantı kesildi. Lütfen tekrar deneyin veya yöneticinizle iletişime geçin.
ui.status.connection.connected;Подключен к;Connected to;Bağlı
ui.status.connection.connecting;Подключение к;Connecting to;Bağlantı
ui.status.connection.disconnected;Нет подключения;No connection;Bağlantı yok
ui.status.connection.notConnected;Не подключен;Not Connected;Bağlı Değil
;;;
# Sign in;;;
ui.notification.signIn.tokenExpired.message;Срок действия токена входа в систему истек;Login token has expired;Giriş jetonunun süresi doldu
ui.notification.signIn.alreadySignedIn.message;Вы уже вошли в систему;You are already logged in.;zaten giriş yaptınız
ui.notification.signIn.notSignedIn.message;Вы еще не вошли в систему;You are not logged in yet;Henüz giriş yapmadınız
ui.loading.signIn.message;Вход в систему. Пожалуйста, подождите;Login. Please wait;Giriş yapmak. Lütfen bekleyin
ui.notification.signIn.success.message;Вы успешно вошли в систему;You have successfully logged in;Başarıyla giriş yaptınız
ui.notification.signIn.error.message;Во время входа в систему произошла ошибка:;An error occurred during login:;Oturum açma sırasında bir hata oluştu:
ui.notification.signIn.securityError.message;Невозможно выполнить вход по соображениям безопасности;Unable to sign in for security reasons;Güvenlik nedeniyle oturum açılamıyor
ui.view.signIn.title;Вход;Login;Login
ui.view.signIn.btn.submit;Войти;Sign in;Giriş yap
ui.view.signIn.btn.createAccount;Создать аккаунт;Create account;Hesap oluştur
ui.view.signIn.btn.forgotPassword;Забыли пароль?;Forgot password?;Şifrenizi mi unuttunuz?
;;;
# Sign up;;;
ui.notification.signUp.alreadyInProgress.message;Регистрация в процессе;Registration in progress;Kayıt devam ediyor
ui.loading.signUp.message;Создание учетной записи. Пожалуйста, подождите;Create an account. Please wait;Bir hesap oluşturun. Lütfen bekleyin
ui.notification.signUp.success.message;Учетная запись успешно создана.;Account created successfully.;Hesap başarıyla oluşturuldu.
ui.notification.signUp.error.message;Во время создания учетной записи произошла ошибка:;An error occurred during account creation:;Hesap oluşturma sırasında bir hata oluştu:
ui.notification.signUp.securityError.message;Невозможно выполнить регистрацию по соображениям безопасности;Unable to register due to security reasons;Güvenlik nedeniyle kayıt yapılamıyor
ui.error.auth.account_blocked.message;Учётная запись заблокирована. Причина: {0};The account is blocked. Reason: {0};Hesap engellendi. Neden: {0}
ui.error.auth.account_blocked_until.message;Учётная запись заблокирована до {0}. Причина: {1};The account is blocked until {0}. Reason: {1};Hesap {0} tarihine kadar engellendi. Neden: {1}
ui.error.auth.account_blocked.default_reason;Причина не указана;No reason was provided;Neden belirtilmedi
ui.error.auth.internal_error.message;Не удалось выполнить авторизацию. Попробуйте позже;Authentication could not be completed. Please try again later;Kimlik doğrulama tamamlanamadı. Lütfen daha sonra tekrar deneyin
ui.error.auth.operation_in_progress.message;Другая операция авторизации ещё выполняется;Another authentication operation is still in progress;Başka bir kimlik doğrulama işlemi hâlâ devam ediyor
ui.error.auth.peer_already_authenticated.message;Это подключение уже авторизовано;This connection is already authenticated;Bu bağlantının kimliği zaten doğrulandı
ui.error.auth.account_already_authenticated.message;Эта учётная запись уже используется;This account is already in use;Bu hesap zaten kullanılıyor
ui.error.auth.session_conflict.message;Состояние авторизации изменилось. Повторите попытку;The authentication state changed. Please try again;Kimlik doğrulama durumu değişti. Lütfen tekrar deneyin
ui.error.auth.account_switch_requires_leaving_room.message;Перед сменой учётной записи выйдите из комнаты;Leave the room before switching accounts;Hesap değiştirmeden önce odadan ayrılın
ui.error.auth.target_account_requires_leaving_room.message;Эта учётная запись сейчас находится в комнате;This account is currently in a room;Bu hesap şu anda bir odada
ui.error.auth.security_context_missing.message;Защищённое соединение не установлено;A secure connection has not been established;Güvenli bağlantı kurulmadı
ui.error.auth.payload_invalid.message;Данные авторизации повреждены или имеют неверный формат;Authentication data is damaged or has an invalid format;Kimlik doğrulama verileri bozuk veya geçersiz biçimde
ui.error.auth.authentication_required.message;Для выполнения этого действия нужно войти в учётную запись;You must sign in to perform this action;Bu işlemi yapmak için oturum açmalısınız
ui.error.auth.permission_denied.message;Недостаточно прав для выполнения операции с учётной записью;You do not have permission to perform this account operation;Bu hesap işlemini gerçekleştirme izniniz yok
ui.error.auth.user_not_logged_in.message;Пользователь не вошёл в учётную запись;The user is not signed in;Kullanıcı oturum açmadı
ui.error.auth.invalid_email.message;Введите корректный адрес электронной почты;Enter a valid email address;Geçerli bir e-posta adresi girin
ui.error.auth.invalid_username.message;Имя пользователя не соответствует требованиям;The username does not meet the requirements;Kullanıcı adı gereksinimleri karşılamıyor
ui.error.auth.invalid_password.message;Пароль не соответствует требованиям;The password does not meet the requirements;Şifre gereksinimleri karşılamıyor
ui.error.auth.invalid_credentials.message;Неверное имя пользователя или пароль;Incorrect username or password;Kullanıcı adı veya şifre yanlış
ui.error.auth.username_already_exists.message;Это имя пользователя уже занято;This username is already taken;Bu kullanıcı adı zaten alınmış
ui.error.auth.email_already_exists.message;Этот адрес электронной почты уже используется;This email address is already in use;Bu e-posta adresi zaten kullanılıyor
ui.error.auth.service_busy.message;Сервис авторизации занят. Попробуйте позже;The authentication service is busy. Please try again later;Kimlik doğrulama hizmeti meşgul. Lütfen daha sonra tekrar deneyin
ui.error.auth.account_registration_failed.message;Не удалось создать учётную запись;The account could not be created;Hesap oluşturulamadı
ui.error.auth.unsupported_credentials.message;Этот способ авторизации не поддерживается;This authentication method is not supported;Bu kimlik doğrulama yöntemi desteklenmiyor
ui.error.auth.phone_sign_in_unsupported.message;Вход по номеру телефона не поддерживается;Phone number sign-in is not supported;Telefon numarasıyla giriş desteklenmiyor
ui.error.auth.guest_login_disabled.message;Гостевой вход отключён;Guest sign-in is disabled;Misafir girişi devre dışı
ui.error.auth.token_invalid_or_expired.message;Токен авторизации недействителен или истёк;The authentication token is invalid or expired;Kimlik doğrulama belirteci geçersiz veya süresi dolmuş
ui.error.auth.password_reset_code_required.message;Введите код сброса пароля;Enter the password reset code;Şifre sıfırlama kodunu girin
ui.error.auth.password_reset_code_invalid.message;Неверный код сброса пароля;The password reset code is invalid;Şifre sıfırlama kodu geçersiz
ui.error.auth.password_reset_code_expired.message;Срок действия кода сброса пароля истёк. Запросите новый код;The password reset code has expired. Request a new code;Şifre sıfırlama kodunun süresi doldu. Yeni bir kod isteyin
ui.error.auth.password_reset_code_attempts_exceeded.message;Попытки ввода кода сброса пароля закончились. Запросите новый код;Password reset code attempts are exhausted. Request a new code;Şifre sıfırlama kodu deneme hakkı tükendi. Yeni bir kod isteyin
ui.error.auth.email_service_unavailable.message;Почтовый сервис временно недоступен;The email service is temporarily unavailable;E-posta hizmeti geçici olarak kullanılamıyor
ui.error.auth.guest_email_confirmation_forbidden.message;Гостевая учётная запись не может подтверждать email;A guest account cannot confirm an email address;Misafir hesap e-posta adresini doğrulayamaz
ui.error.auth.email_confirmation_code_invalid.message;Неверный код подтверждения email;The email confirmation code is invalid;E-posta doğrulama kodu geçersiz
ui.error.auth.email_confirmation_code_expired.message;Срок действия кода подтверждения email истёк. Запросите новый код;The email confirmation code has expired. Request a new code;E-posta doğrulama kodunun süresi doldu. Yeni bir kod isteyin
ui.error.auth.email_confirmation_code_attempts_exceeded.message;Попытки ввода кода подтверждения закончились. Запросите новый код;Email confirmation code attempts are exhausted. Request a new code;E-posta doğrulama kodu deneme hakkı tükendi. Yeni bir kod isteyin
ui.error.auth.email_confirmation_failed.message;Не удалось подтвердить адрес электронной почты;The email address could not be confirmed;E-posta adresi doğrulanamadı
ui.error.auth.email_delivery_failed.message;Не удалось отправить письмо. Попробуйте позже;The email could not be sent. Please try again later;E-posta gönderilemedi. Lütfen daha sonra tekrar deneyin
ui.error.auth.email_confirmation_code_save_failed.message;Не удалось сохранить код подтверждения. Попробуйте позже;The confirmation code could not be saved. Please try again later;Doğrulama kodu kaydedilemedi. Lütfen daha sonra tekrar deneyin
ui.error.auth.email_sign_in_request_invalid.message;Запрос входа по email недействителен;The email sign-in request is invalid;E-posta ile giriş isteği geçersiz
ui.error.auth.email_sign_in_code_invalid_or_expired.message;Код входа по email недействителен или истёк;The email sign-in code is invalid or expired;E-posta giriş kodu geçersiz veya süresi dolmuş
ui.error.auth.email_sign_in_state_failed.message;Не удалось подготовить вход по email;Email sign-in could not be prepared;E-posta ile giriş hazırlanamadı
ui.error.auth.bridge_player_id_required.message;Игровой сервис не передал идентификатор игрока;The game service did not provide a player identifier;Oyun hizmeti oyuncu kimliği sağlamadı
ui.error.auth.bridge_guest_identity_not_allowed.message;Гостевой профиль игрового сервиса нельзя привязать к учётной записи;A guest game-service profile cannot be linked to an account;Misafir oyun hizmeti profili bir hesaba bağlanamaz
ui.error.auth.bridge_validation_failed.message;Игровой сервис не подтвердил данные игрока;The game service could not validate the player data;Oyun hizmeti oyuncu verilerini doğrulayamadı
ui.error.auth.bridge_failed.message;Не удалось войти через игровой сервис;Could not sign in through the game service;Oyun hizmeti üzerinden giriş yapılamadı
;;;
# Common MST errors;;;
ui.error.common.unknown.message;Произошла неизвестная ошибка. Попробуйте ещё раз;An unknown error occurred. Please try again;Bilinmeyen bir hata oluştu. Lütfen tekrar deneyin
ui.error.common.internal_error.message;На сервере произошла внутренняя ошибка. Попробуйте позже;An internal server error occurred. Please try again later;Sunucuda dahili bir hata oluştu. Lütfen daha sonra tekrar deneyin
ui.error.common.permission_denied.message;Недостаточно прав для выполнения этого действия;You do not have permission to perform this action;Bu işlemi gerçekleştirmek için yeterli izniniz yok
ui.error.common.response_invalid.message;Сервер вернул некорректный ответ;The server returned an invalid response;Sunucu geçersiz bir yanıt döndürdü
ui.error.common.request_handler_not_found.message;Сервер не поддерживает эту операцию;The server does not support this operation;Sunucu bu işlemi desteklemiyor
ui.error.common.request_handler_failed.message;Сервер не смог выполнить операцию. Попробуйте позже;The server could not complete the operation. Please try again later;Sunucu işlemi tamamlayamadı. Lütfen daha sonra tekrar deneyin
ui.error.common.resource_insufficient.message;Недостаточно ресурса: {0};Not enough resource: {0};Yetersiz kaynak: {0}
ui.error.common.resource_unsupported.message;Ресурс не поддерживается: {0};The resource is not supported: {0};Kaynak desteklenmiyor: {0}
;;;
# Security errors;;;
ui.error.security.connection_unauthenticated.message;Подключение не прошло проверку безопасности;The connection has not passed security authentication;Bağlantı güvenlik doğrulamasından geçmedi
ui.error.security.context_missing.message;Контекст безопасности подключения недоступен;The connection security context is unavailable;Bağlantı güvenlik bağlamı kullanılamıyor
ui.error.security.permission_request_invalid.message;Запрос прав доступа имеет неверный формат;The permission request has an invalid format;İzin isteğinin biçimi geçersiz
ui.error.security.permission_key_required.message;Не указан ключ прав доступа;A permission key is required;İzin anahtarı gerekli
ui.error.security.default_permission_required.message;Базовые права доступа не настроены;Default permissions are not configured;Varsayılan izinler yapılandırılmadı
